avg_x,avg_y,var_x,var_y,total_distance,player_id,suggested_role,role
0.534554974,0.511557973,87191.02848,2360.195952,2249.185438,0,1,1
0.076353846,0.53674923,32058.75093,55.59906744,594.1773911,1,0,0
0.523164834,0.537411244,80174.03128,962.249403,2366.404031,2,1,1
0.689501742,0.488911475,144781.6541,514.8825044,2586.279702,3,2,2
0.214970114,0.580327097,112299.697,310.3110916,1474.814963,4,0,0
0.867195185,0.471244956,92805.95343,148.8544299,970.8508558,5,2,2
0.012966257,0.520542735,805.9186532,1.62046356,152.2375529,6,0,0
0.466644096,0.624361713,82699.87825,390.149088,2426.145646,7,1,1
0.764253863,0.544075521,117930.2921,799.7338894,2313.192147,8,2,2
0.06613596,0.48692875,26758.89813,132.0287309,557.979732,9,0,0
0.704417395,0.604612096,117073.4633,1127.275037,2426.223599,10,2,2
0.198962933,0.561651545,84684.61982,738.1739837,1980.336725,11,0,0
0.719424899,0.709724113,232576.4432,3832.127932,2367.278764,12,2,2
0.194628016,0.51529439,62790.61233,635.8643469,1987.516613,13,0,0
0.044095895,0.529635796,16832.83572,14.06010938,483.6606422,14,0,0
0.163506953,0.627953039,61786.45103,1526.996436,1985.477494,15,0,0
0.526673157,0.492844331,71049.68896,498.0264591,2132.507688,16,1,1
0.012039171,0.575026293,850.9969382,1.514698864,152.6101956,17,0,0
0.001862147,0.635818096,184.8407331,0.258245331,93.73055891,18,0,0
0.088325873,0.459671553,45943.21067,32.02553922,694.4998467,19,0,0
0.56426592,0.539246891,125994.0983,1999.594502,2767.65646,20,1,1
